tconst,rating,seasonNumber
tt0165593,7.7,4
tt0212698,8,5
tt0958966,8.1,1
tt0958966,8.1,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0958966,8.1,1
tt0058853,7.2,1
tt0058853,7.2,1
tt0062578,7.1,2
tt0212699,7.7,4
tt0958966,8.1,1
tt0063875,7.3,1
tt0958966,8.1,1
tt0806910,7.2,1
tt0398430,7.1,3
tt0797756,8.3,1
tt0797756,8.3,1
tt0058836,7.9,3
tt0212699,7.7,5
tt0058836,7.9,3
tt0058853,7.2,1
tt0165593,7.7,5
tt0212699,7.7,4
tt0165593,7.7,4
tt0065303,8.2,1
tt0058853,7.2,1
tt0165593,7.7,4
tt0958966,8.1,1
tt0958966,8.1,1
tt0063927,7.2,1
tt0065317,7,1
tt0297621,6.2,1
tt0958966,8.1,1
tt0046593,8.6,16
tt0065327,8,1
tt0398430,7.1,3
tt0212699,7.7,4
tt0212699,7.7,4
tt0297621,6.2,1
tt0058853,7.2,1
tt0058836,7.9,3
tt0058853,7.2,1
tt0212699,7.7,5
tt1245421,8.2,0
tt0058836,7.9,3
tt0242211,8.7,8
tt0063955,8.1,1
tt0165593,7.7,5
tt0914702,7.9,12
tt0063928,7.4,1
tt1157603,8.6,1
tt0063873,7.7,1
tt0065357,8,1
tt0066625,7.7,1
tt0958966,8.1,2
tt0165592,7.7,1
tt0212699,7.7,5
tt0958966,8.1,2
tt0200358,8.1,3
tt0165592,7.7,1
tt0058853,7.2,1
tt1415092,6.6,4
tt0165593,7.7,6
tt0958966,8.1,2
tt0797756,8.3,1
tt0797756,8.3,1
tt0297621,6.2,3
tt0165592,7.7,1
tt0212699,7.7,5
tt0165593,7.7,5
tt0058853,7.2,1
tt0212699,7.7,5
tt0958966,8.1,2
tt0297621,6.2,2
tt0212699,7.7,5
tt0165592,7.7,1
tt0066681,8.1,1
tt0165593,7.7,6
tt0958966,8.1,2
tt0066631,8,1
tt0066705,7.2,1
tt0797756,8.3,1
tt0212699,7.7,6
tt0958966,8.1,2
tt0165592,7.7,1
tt0058853,7.2,1
tt0165593,7.7,5
tt0165593,7.7,6
tt0065343,3,1
tt0066708,7.6,1
tt0797756,8.3,1
tt0058853,7.2,1
tt0165593,7.7,5
tt0058853,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0165593,7.7,6
tt1157603,8.6,1
tt0055701,7.5,6
tt0958966,8.1,2
tt0958966,8.1,2
tt0165593,7.7,6
tt0212699,7.7,6
tt0165593,7.7,6
tt0165592,7.7,1
tt0212699,7.7,6
tt0212699,7.7,6
tt0068045,8.2,1
tt0212699,7.7,6
tt0165593,7.7,6
tt0165593,7.7,7
tt0058836,7.9,4
tt1466074,8.2,1
tt1466074,8.2,1
tt1466074,8.2,1
tt1466074,8.2,1
tt0058836,7.9,4
tt0927036,6.7,1
tt0165593,7.7,6
tt0068067,7.9,1
tt0165592,7.7,2
tt0165592,7.7,1
tt0212699,7.7,6
tt0797756,8.3,1
tt0165592,7.7,1
tt0212699,7.7,7
tt0068077,8.1,1
tt0165592,7.7,1
tt0159876,7.9,1
tt0068149,7.6,1
tt0212699,7.7,7
tt0065349,8,2
tt0212699,7.7,6
tt0212699,7.7,5
tt0065349,8,2
tt0165592,7.7,1
tt0165592,7.7,2
tt0165593,7.7,7
tt0806910,7.2,1
tt0066693,7.7,1
tt0165592,7.7,2
tt0066685,7.2,1
tt0165592,7.7,1
tt0066696,7.3,1
tt0297621,6.2,3
tt0165593,7.7,6
tt0806901,6.5,1
tt0297621,6.2,3
tt0061266,7.1,5
tt0212699,7.7,6
tt0165593,7.7,7
tt0806910,7.2,1
tt0212699,7.7,6
tt0165592,7.7,2
tt0165593,7.7,7
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0212699,7.7,6
tt0797756,8.3,1
tt0165592,7.7,2
tt0165593,7.7,7
tt0058836,7.9,4
tt1157603,8.6,1
tt0165592,7.7,1
tt0212699,7.7,7
tt0212699,7.7,8
tt0068527,6.7,1
tt0068044,7.6,1
tt0165592,7.7,3
tt0212699,7.7,7
tt0849411,6,0
tt0212699,7.7,8
tt1466074,8.2,1
tt1466074,8.2,2
tt1466074,8.2,1
tt1466074,8.2,2
tt1466074,8.2,1
tt1466074,8.2,1
tt1466074,8.2,2
tt1466074,8.2,2
tt0068527,6.7,1
tt0068060,6.9,1
tt0165592,7.7,2
tt0068064,7,1
tt0165592,7.7,3
tt0165593,7.7,8
tt0797756,8.3,1
tt0165592,7.7,3
tt0797756,8.3,1
tt0165593,7.7,8
tt0212699,7.7,7
tt0212699,7.7,8
tt0068093,7.8,1
tt0165593,7.7,7
tt0212699,7.7,8
tt0165593,7.7,8
tt0165592,7.7,3
tt0165593,7.7,7
tt0212699,7.7,7
tt0165593,7.7,8
tt0212699,7.7,7
tt0797756,8.3,1
tt0212699,7.7,7
tt0806910,7.2,1
tt0165592,7.7,3
tt0068126,6.9,1
tt0222545,7.5,1
tt0069633,7.7,1
tt0165592,7.7,2
tt0068135,7.3,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0069643,7.2,1
tt1414347,6.6,1
tt0212699,7.7,8
tt0797756,8.3,1
tt1414347,6.6,1
tt0212699,7.7,7
tt0046593,8.6,17
tt0222545,7.5,1
tt0212699,7.7,8
tt0165592,7.7,3
tt0165593,7.7,8
tt0797756,8.3,1
tt0165593,7.7,8
tt0297621,6.2,6
tt0165593,7.7,8
tt1466074,8.2,2
tt1466074,8.2,3
tt1466074,8.2,3
tt1466074,8.2,3
tt1466074,8.2,2
tt1466074,8.2,3
tt1466074,8.2,2
tt0165593,7.7,9
tt0212699,7.7,8
tt0164295,8.1,1
tt0202206,7.2,1
tt0407366,7.8,1
tt0065296,7.9,4
tt0165592,7.7,3
tt0069589,7.8,1
tt0165592,7.7,4
tt0212699,7.7,8
tt0762803,6.8,1
tt0070977,7.7,2
tt0297621,6.2,5
tt0069606,7.6,1
tt0165592,7.7,3
tt0069599,7.1,1
tt0298709,7,1
tt0164295,8.1,2
tt0165592,7.7,3
tt0312084,8,1
tt1049986,7,1
tt0212699,7.7,8
tt0069620,7.5,1
tt0165593,7.7,9
tt0165593,7.7,9
tt0202179,6.9,2
tt0165593,7.7,8
tt0164295,8.1,1
tt0165592,7.7,3
tt0165592,7.7,3
tt0797756,8.3,1
tt0070993,7.6,1
tt0806910,7.2,1
tt0806910,7.2,1
tt0348892,7.2,0
tt0165592,7.7,3
tt0069646,7.8,1
tt0298709,7,1
tt0065327,8,2
