parentTconst,seasonNumber
tt0165592,5
tt0762803,2
tt0072481,1
tt1614886,1
tt0159876,0
tt1466074,5
tt1466074,4
tt1466074,4
tt1466074,5
tt1466074,5
tt1466074,4
tt1466074,4
tt0071325,1
tt0072496,1
tt1049986,2
tt0165592,5
tt0159876,0
tt0165592,5
tt0312084,3
tt0165592,5
tt0065296,0
tt1049986,2
tt1049986,3
tt1614886,1
tt0397818,0
tt0072515,1
tt0259806,6
tt1049986,2
tt0072526,1
tt0165593,10
tt0806910,1
tt0165593,11
tt0165593,11
tt0397818,0
tt0072542,1
tt0207281,1
tt0165592,6
tt0762803,2
tt0074074,1
tt0298685,1
tt0071325,1
tt0259806,4
tt0397818,0
tt0075471,1
tt1614886,1
tt0165592,6
tt1049986,2
tt0165593,10
tt0071054,3
tt0071325,1
tt1049986,2
tt0165593,10
tt1049986,2
tt0072574,1
tt0806910,1
tt0806910,1
tt0165592,6
tt1049986,2
tt0165592,6
tt0164295,4
tt0806910,1
tt0806910,1
tt0159876,0
tt0073961,1
tt0165592,7
tt0165592,7
tt0762803,3
tt0073972,1
tt0165593,11
tt0167732,1
tt1466074,5
tt1466074,6
tt1466074,5
tt1466074,5
tt1466074,6
tt0165592,6
tt0762803,4
tt0165592,6
tt0165593,11
tt0075510,1
tt0073994,1
tt0207281,1
tt0165592,6
tt0075517,1
tt1049986,3
tt1043199,1
tt0762803,3
tt0165592,6
tt0075523,1
tt0259806,7
tt0075524,1
tt0762803,4
tt0165593,11
tt0762803,4
tt0074026,1
tt0165592,6
tt0075552,1
tt0165592,6
tt0762803,3
tt0762803,3
tt1380837,1
tt0165592,7
tt0074054,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0165592,6
tt0165593,11
tt0169416,1
tt1049986,3
tt0165592,7
tt0806910,1
tt0165592,8
tt0958967,1
tt1294801,1
tt0076975,1
tt0165593,12
tt0167732,1
tt0400019,1
tt1466074,6
tt1466074,7
tt1466074,7
tt0165592,8
tt0400019,1
tt0958967,1
tt0077008,1
tt0165593,12
tt0400019,1
tt0934712,1
tt0400019,1
tt0077031,1
tt0075519,1
tt0208624,1
tt0159876,0
tt0165592,7
tt0806901,7
tt0075532,1
tt0075533,1
tt0927664,1
tt0165592,8
tt0075539,1
tt0806910,1
tt0075529,1
tt1245432,1
tt0075551,1
tt1049986,6
tt1245432,1
tt1057900,1
tt1049986,6
tt0075573,1
tt0958967,1
tt0958967,1
tt0165592,8
tt0806910,1
tt0806910,1
tt0400019,1
tt0165593,13
tt0165593,12
tt0165593,13
tt0165593,14
tt0165592,8
tt0078564,1
tt0165592,9
tt0120958,0
tt0046593,24
tt5272570,1
tt5272570,1
tt1466074,7
tt1466074,7
tt1466074,7
tt1245432,2
tt0165593,13
tt0165592,8
tt0165592,9
tt0068067,7
tt0075471,1
tt0958967,1
tt0165593,13
tt0077011,1
tt0958967,1
tt0806910,1
tt1471316,0
tt0958967,1
tt0208624,1
tt0958967,2
tt0078643,1
tt0958967,1
tt0958967,1
tt4322992,1
tt4322992,1
tt4322992,1
tt0077008,1
tt0806910,1
tt0071054,5
tt0958967,1
tt0165592,9
tt0806910,1
tt0806910,1
tt0806910,1
tt0077093,1
tt2786254,1
tt0159876,6
tt0958967,1
tt0165592,9
tt0762803,6
tt1294801,1
tt0165592,9
tt0077031,2
tt1686687,0
tt0165592,10
tt0165592,9
tt0081845,1
tt0958967,1
tt0078595,1
tt1245432,3
tt0072543,1
tt0078697,1
tt0958967,2
tt0080227,1
tt0078622,1
tt0078635,1
tt2487424,1
tt2487424,1
tt1686687,0
tt0806910,1
tt0165593,14
tt0958967,2
tt1015569,1
tt0078681,1
tt0762803,6
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0080289,1
tt0159876,6
tt0165593,14
tt0165593,14
tt3662072,0
tt0762803,7
tt0081863,1
tt0762803,6
tt0762803,7
tt0806910,1
tt0762803,6
tt0165592,11
tt0762803,7
tt0159876,0
tt0080240,1
tt0927664,1
tt0165592,11
tt0165593,15
tt0762803,6
tt0762803,6
tt0199214,1
tt0806910,1
tt0075471,4
tt0080231,1
tt0080276,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0081826,0
tt0202179,11
tt0176357,1
tt0806910,1
tt0081837,1
tt0083395,1
tt0081843,1
tt0176357,1
tt0165592,11
tt0075471,3
tt0176357,2
tt0083464,1
tt0159876,0
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0053510,0
tt0176357,1
tt0046593,28
tt0159876,12
tt0165592,13
tt0176357,1
tt1480503,1
tt1012950,1
tt1380834,1
tt0969784,2
tt0176357,1
tt1480503,1
tt0176357,1
tt0202179,12
tt0080231,1
tt0165592,12
tt0085032,1
tt0762803,8
tt0165592,13
tt0199214,2
tt0169446,0
tt1012950,5
tt0176357,1
tt0083437,1
tt0165593,15
tt1480503,1
tt0176357,1
tt0176357,1
tt0176357,1
tt0259794,1
tt0846838,1
tt0846838,1
tt0176357,1
tt1012950,4
tt0806910,1
tt0806910,1
tt0083486,1
tt0046593,28
tt0083488,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0165592,12
tt0046593,28
tt0176357,1
tt0075474,7
tt0806901,13
tt0806910,1
tt0176357,3
tt0085002,1
tt0176357,2
tt0898240,1
tt0176357,2
tt0176357,2
tt1287866,1
tt0075471,6
tt0096552,0
tt0165593,16
tt0159876,11
tt1155386,1
tt1155386,1
tt1155386,1
tt0270639,0
tt0085051,1
tt0085055,1
tt0176357,4
tt2286153,1
tt0176357,2
tt0202179,13
tt0199214,3
tt0167732,1
tt0086791,1
tt0176357,2
tt0085084,1
tt0085088,1
tt0147770,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0176357,3
tt1856236,1
tt2158111,1
tt0147770,1
tt0199184,0
tt0086678,1
tt0080231,1
tt0199214,4
tt0176357,3
tt0147770,1
tt0086690,1
tt0147770,1
tt0985040,1
tt0147770,1
tt0199214,4
tt0086712,1
tt0176357,5
tt0806910,1
tt0176357,3
tt0086722,1
tt0176357,4
tt0167732,1
tt0176357,3
tt0985040,2
tt0812202,1
tt0086733,1
tt0086734,1
tt0147770,1
tt0176357,3
tt0147770,1
tt0147770,1
tt0199214,6
tt0167732,1
tt0167732,1
tt0086759,1
tt0806910,1
tt0086765,1
tt0167732,1
tt0176357,4
tt0167732,1
tt2158111,1
tt2158111,1
tt0167732,1
tt0167732,1
tt0176357,3
tt0176357,3
tt0176357,5
tt0167732,1
tt0974356,0
tt0846838,1
tt0846838,1
tt0165592,13
tt0176357,4
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0806910,1
tt0147770,1
tt0806901,20
tt0167732,1
tt0167732,1
tt0297626,1
tt0812202,1
tt0165592,14
tt0149504,1
tt0088655,1
tt0088655,1
tt0820333,1
tt0167732,1
tt0176357,5
tt0088476,1
tt0088622,1
tt0046593,31
